Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Weighted_Moving_Average,Forecast_Error,Absolute_Error
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,,,
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,,,
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,,,
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,1627222.824,-217495.23399999994,217495.23399999994
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,1515346.2705,39460.409499999834,39460.409499999834
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,1512603.222,-73061.63199999998,73061.63199999998
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,1475412.2715,-2896.4814999999944,2896.4814999999944
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,1473318.4535,-68888.53350000014,68888.53350000014
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,1433526.725,161441.55499999993,161441.55499999993
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,1509911.9805,35506.549499999965,35506.549499999965
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,1541612.651,-75554.37100000004,75554.37100000004
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,1513170.8675,-121914.74749999982,121914.74749999982
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,1440561.2375,-15460.527500000084,15460.527500000084
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,1419398.739,184556.38100000005,184556.38100000005
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,1509451.2264999999,-15199.726499999873,15199.726499999873
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,1522275.1485000001,-122613.07850000006,122613.07850000006
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,1463412.328,-31342.378000000026,31342.378000000026
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,1430054.4245,185470.2855,185470.2855
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,1518936.148,23624.94200000004,23624.94200000004
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,1551524.6859999998,-48240.6259999997,48240.6259999997
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,1533867.118,-111155.51799999992,111155.51799999992
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,1468889.3845000002,23528.755499999737,23528.755499999737
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,1469650.739,76423.44099999988,76423.44099999988
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,1508790.179,-59851.25900000008,59851.25900000008
